Date,Open,High,Low,Close
20180330,7171.45,7276.66,6683.93,6890.52
20180331,6892.48,7207.85,6863.52,6973.53
20180401,7003.06,7060.95,6526.87,6844.23
20180402,6844.86,7135.47,6816.58,7083.8
20180403,7102.26,7530.94,7072.49,7456.11
20180404,7456.41,7469.88,6803.88,6853.84
20180405,6848.65,6933.82,6644.8,6811.47
20180406,6815.96,6857.49,6575.0,6636.32
20180407,6630.51,7050.54,6630.51,6911.09
20180408,6919.98,7111.56,6919.98,7023.52
20180409,7044.32,7178.11,6661.99,6770.73
20180410,6795.44,6872.41,6704.15,6834.76
20180411,6843.47,6968.32,6817.59,6968.32
20180412,6955.38,7899.23,6806.51,7889.25
20180413,7901.09,8183.96,7758.93,7895.96
20180414,7874.67,8140.71,7846.0,7986.24
20180415,7999.33,8338.42,7999.33,8329.11
20180416,8337.57,8371.15,7925.73,8058.67
20180417,8071.66,8285.96,7881.72,7902.09
20180418,7944.43,8197.8,7886.01,8163.42
20180419,8159.27,8298.69,8138.78,8294.31
20180420,8286.88,8880.23,8244.54,8845.83
20180421,8848.79,8997.57,8652.15,8895.58
20180422,8925.06,9001.64,8779.61,8802.46
20180423,8794.39,8958.55,8788.81,8930.88
20180424,8934.34,9732.61,8927.83,9697.5
20180425,9701.03,9745.32,8799.84,8845.74
20180426,8867.32,9281.51,8727.09,9281.51
20180427,9290.63,9375.47,8987.05,8987.05
20180428,8939.27,9412.09,8931.99,9348.48
20180429,9346.41,9531.49,9193.71,9419.08
20180430,9426.11,9477.14,9166.81,9240.55
20180501,9251.47,9255.88,8891.05,9119.01
20180502,9104.6,9256.52,9015.14,9235.92
20180503,9233.97,9798.33,9188.15,9743.86
20180504,9695.5,9779.2,9585.96,9700.76
20180505,9700.28,9964.5,9695.12,9858.15
20180506,9845.31,9940.14,9465.25,9654.8
20180507,9645.67,9665.85,9231.53,9373.01
20180508,9380.87,9462.75,9127.77,9234.82
20180509,9223.73,9374.76,9031.62,9325.18
20180510,9325.96,9396.04,9040.52,9043.94
20180511,9052.96,9052.96,8394.46,8441.49
20180512,8441.44,8664.86,8223.5,8504.89
20180513,8515.49,8773.55,8395.12,8723.94
20180514,8713.1,8881.12,8367.97,8716.79
20180515,8705.19,8836.19,8456.45,8510.38
20180516,8504.41,8508.43,8175.49,8368.83
20180517,8370.05,8445.54,8054.12,8094.32
20180518,8091.83,8274.12,7974.82,8250.97
20180519,8255.73,8372.06,8183.35,8247.18
20180520,8246.99,8562.41,8205.24,8513.25
20180521,8522.33,8557.52,8365.12,8418.99
20180522,8419.87,8423.25,8004.58,8041.78
20180523,8037.08,8054.66,7507.88,7557.82
20180524,7561.12,7738.6,7331.14,7587.34
20180525,7592.3,7659.14,7392.65,7480.14
20180526,7486.48,7595.16,7349.12,7355.88
20180527,7362.08,7381.74,7270.96,7368.22
20180528,7371.31,7419.05,7100.89,7135.99
20180529,7129.46,7526.42,7090.68,7472.59
20180530,7469.73,7573.77,7313.6,7406.52
20180531,7406.15,7608.9,7361.13,7494.17
20180601,7500.7,7604.73,7407.34,7541.45
20180602,7536.72,7695.83,7497.26,7643.45
20180603,7632.09,7754.89,7613.04,7720.25
20180604,7722.53,7753.82,7474.04,7514.47
20180605,7500.9,7643.23,7397.0,7633.76
20180606,7625.97,7680.43,7502.01,7653.98
20180607,7650.82,7741.27,7650.82,7678.24
20180608,7685.14,7698.19,7558.4,7624.92
20180609,7632.52,7683.58,7531.98,7531.98
20180610,7499.55,7499.55,6709.07,6786.02
20180611,6799.29,6910.18,6706.63,6906.92
20180612,6905.82,6907.96,6542.08,6582.36
20180613,6596.88,6631.66,6285.63,6349.9
20180614,6342.75,6707.14,6334.46,6675.35
20180615,6674.08,6681.08,6433.87,6456.58
20180616,6455.45,6592.49,6402.29,6550.16
20180617,6545.53,6589.11,6499.27,6499.27
20180618,6510.07,6781.14,6446.68,6734.82
20180619,6742.39,6822.5,6709.92,6769.94
20180620,6770.76,6821.56,6611.88,6776.55
20180621,6780.09,6810.94,6715.17,6729.74
20180622,6737.88,6747.08,6006.6,6083.69
20180623,6090.1,6224.82,6071.81,6162.48
20180624,6164.28,6223.78,5826.41,6173.23
20180625,6171.97,6327.37,6119.68,6249.18
20180626,6253.55,6290.16,6093.67,6093.67
20180627,6084.4,6180.0,6052.85,6157.13
20180628,6153.16,6170.41,5873.05,5903.44
20180629,5898.13,6261.66,5835.75,6218.3
20180630,6214.22,6465.51,6214.22,6404.0
20180701,6411.68,6432.85,6289.29,6385.82
20180702,6380.38,6683.86,6305.7,6614.18
20180703,6596.66,6671.37,6447.75,6529.59
20180704,6550.87,6771.92,6450.46,6597.55
20180705,6599.71,6749.54,6546.65,6639.14
20180706,6638.69,6700.94,6533.55,6673.5
